id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
66046,Condo in Anusawari ?? ?òÖ4.75 ?? 1 bedroom ?? 1 bed ?? 1.5 baths,323158,Sue,,Chatu Chak,13.82298,100.56484,Entire home/apt,71797,2,9,4/3/2020,0.09,5,207,0,
105042,Rental unit in Bangkok ?? ?òÖ4.77 ?? 3 bedrooms ?? 3 beds ?? 3.5 baths,545890,Henry,,Khlong Toei,13.73378,100.56303,Entire home/apt,5776,28,148,7/1/2020,1.04,1,327,0,
113744,Rental unit in Bang Pakok ?? 1 bedroom ?? 1 bed ?? 1 bath,578110,Muay,,Rat Burana,13.68568,100.49231,Private room,1409,30,0,,,1,365,0,
118118,Rental unit in Bangkok ?? ?òÖ5.0 ?? 1 bedroom ?? 1 bed,596463,Dustin,,Khlong Toei,13.70441,100.59968,Entire home/apt,1761,2,3,9/10/2013,0.02,1,0,0,
608624,Home in Krung Thep Maha Nakhon ?? ?òÖ4.67 ?? 1 bedroom ?? 1 bed ?? 1.5 baths,2940438,Kinifrog,,Thon buri,13.71699,100.4783,Entire home/apt,1700,28,3,26/6/2023,0.53,19,364,3,
121410,Serviced apartment in Bang Kapi ?? 1 bedroom ?? 2 beds ?? 1 bath,610315,Kasem,,Bang Kapi,13.76747,100.63287,Private room,1190,1,1,30/1/2023,0.2,3,365,1,
688013,Rental unit in Bangkok ?? ?òÖ4.69 ?? 1 bedroom ?? 1 bed ?? 1 bath,1780407,Feb,,Bang Na,13.67926,100.61655,Entire home/apt,808,29,148,22/4/2023,1.14,6,278,2,
145343,Rental unit in Bangkok ?? ?òÖ4.66 ?? 1 bedroom ?? 1 bed ?? 1.5 baths,703944,Parinya,,Lat Krabang,13.721868,100.771713,Private room,1200,1,44,8/6/2023,0.42,1,364,25,
691478,Rental unit in Bangkok ?? ?òÖ5.0 ?? 1 bedroom ?? 1 bed ?? 1 bath,3533863,Sarasinee,,Phaya Thai,13.78887,100.56009,Entire home/apt,500,30,4,15/12/2012,0.03,4,0,0,
156583,Rental unit in Bangkok ?? ?òÖ4.17 ?? 1 bedroom ?? 1 bed ?? 1 bath,58920,Gael,,Bang Rak,13.7285,100.52313,Entire home/apt,1090,7,66,13/4/2023,0.47,2,151,4,
691526,Rental unit in Bangkok ?? 1 bedroom ?? 1 bed ?? 1.5 baths,3533863,Sarasinee,,Phaya Thai,13.79032,100.56145,Entire home/apt,1360,1,0,,,4,0,0,
159355,Condo in Bangkok ?? 1 bedroom ?? 1 bed ?? 1 bath,764690,Wirat,,Yan na wa,13.71363,100.54652,Entire home/apt,1761,2,0,,,1,0,0,
691540,Rental unit in Bangkok ?? 1 bedroom ?? 1 bed ?? 1 bath,3533863,Sarasinee,,Din Daeng,13.78829,100.56171,Entire home/apt,1000,3,0,,,4,0,0,
159854,Condo in Wattana ?? ?òÖ4.67 ?? 1 bedroom ?? 1 bed ?? 1 bath,766443,Gerd,,Vadhana,13.74293,100.55603,Entire home/apt,1728,3,213,10/1/2023,1.52,5,134,7,
715652,Rental unit in Bangkok ?? ?òÖ4.33 ?? Studio ?? 1 bed ?? 1 bath,3687435,Avinash,,Din Daeng,13.78777,100.56551,Entire home/apt,880,1,6,18/10/2015,0.05,1,0,0,
166267,Condo in Bangkok ?? ?òÖ4.46 ?? 1 bedroom ?? 3 beds ?? 1 bath,58920,Gael,,Bang Rak,13.72733,100.52555,Entire home/apt,1320,7,75,25/4/2023,0.54,2,142,8,
169285,Rental unit in Bangkok ?? 1 bedroom ?? 1 bed ?? 1 bath,806600,Frances,,Huai Khwang,13.78118,100.58349,Private room,1338,1,0,,,1,0,0,
722291,Condo in Bangkok ?? ?òÖ4.82 ?? 1 bedroom ?? 1 bed ?? 1 bath,1810415,Egidio,,Sathon,13.72109,100.53915,Entire home/apt,1021,300,35,17/6/2022,0.29,3,333,0,
169514,Rental unit in Bangkok ?? 2 bedrooms ?? 1 bed ?? 2 baths,729617,Kanchuya,,Vadhana,13.74464,100.55784,Entire home/apt,1761,90,0,,,1,365,0,
722660,Condo in Bangkok ?? 1 bedroom ?? 1 bed ?? 1 bath,3734436,Chok,,Sathon,13.70644,100.52544,Entire home/apt,1233,21,0,,,2,365,0,
172332,Guesthouse in Bangkok ?? ?òÖ5.0 ?? 1 bedroom ?? 1 bed ?? 1.5 baths,822284,Rae And Charlie,,Bang Sue,13.83148,100.52102,Entire home/apt,1000,3,23,19/2/2023,0.18,8,149,2,
723070,Condo in Khet Sathon ?? 2 bedrooms ?? 1 bed ?? 1 bath,3734436,Chok,,Sathon,13.72075,100.53993,Entire home/apt,1585,21,2,5/12/2018,0.03,2,364,0,
185364,Home in Bangkok ?? 1 bedroom ?? 1 bed ?? 2 baths,889670,Narumon,,Nong Chok,13.77892,100.83838,Entire home/apt,8808,1,0,,,1,363,0,
729015,Rental unit in Bangkok ?? ?òÖ4.94 ?? 2 bedrooms ?? 1 bed ?? 1 bath,3785867,Julia,,Khlong San,13.72077,100.51202,Entire home/apt,3419,360,37,30/4/2018,0.29,2,364,0,
241416,Rental unit in Bangkok ?? 1 bedroom ?? 1 bed ?? 1 bath,960892,Vajirune,,Phra Khanong,13.70169,100.5977,Private room,2289,3,0,,,1,365,0,
736372,Rental unit in Bangkok ?? 2 bedrooms ?? 1 bed ?? 3 baths,3843977,Marc,,Vadhana,13.74283,100.58651,Entire home/apt,2007,180,0,,,1,0,0,
1052180,Condo in Bangkok ?? ?òÖ4.71 ?? 2 bedrooms ?? 1 bed ?? 1 bath,5793490,Nicky,,Bang Kho laen,13.69947,100.52726,Entire home/apt,800,1,33,6/5/2023,0.29,6,88,8,
296960,Rental unit in Bangkok ?? ?òÖ4.90 ?? 1 bedroom ?? 1 bed ?? 1 bath,175729,Mitch & Mam,,Chatu Chak,13.80926,100.56892,Entire home/apt,916,358,56,4/8/2019,0.41,1,0,0,
1057173,Condo in Bangkok ?? ?òÖ4.60 ?? 1 bedroom ?? 1 bed ?? 1 bath,5822937,Piya,,Bang Na,13.67991,100.61055,Entire home/apt,999,14,172,28/2/2023,1.47,1,230,5,
